Elemento	Bazformo	Statuso	BRO	Oficiala difino	France	Angle	Germane	Pole	Ruse	Hispane	Itale	Katalune	Portugale
-A	-a	F	BRO1: -a		marque l’adjectif; ex. hom/ homme -- hom/a humain	termination of adjectives; e. g. hom/ man -- hom/a human	bezeichnet das Adjektiv; z. B. hom/ Mensch -- hom/a menschlich	oznacza przymiotnik; np. hom/ cz?owiek -- hom/a ludzki	????????? ??????????????; ????. hom/ ???????? -- hom/a ????????????				
ABEL/	abel/o	F	BRO8: abelo		abeille	bee	Biene	pszczo?a	?????				
ABI/	abi/o	F	BRO7: abio		sapin	fir	Tanne	jod?a	???				
ABOMEN/	abomen/o	F	BRO8: abomeno		abomination	abomination	Abscheu	odraza	??????????				
ABON/	abon/i	F	BRO8: aboni		s’abonner (à) AK	subscribe	abonniren	prenumerowac'	????????????? (?? ??????), ????????????? AK				
ABRIKOT/	abrikot/o	F	BRO9: abrikoto		abricot	apricot	Aprikose	morela	????????				
ABRUPT/	abrupt/a	2OA	BRO9: abrupta		brusque	abrupt	schroff						
ABSOLUT/	absolut/a	F +1OA +7OA	BRO9: absoluta		absolu	absolute	unbeschränkt, absolut	absolutny	??????????				
ABSTIN/	abstin/i	4OA	BRO9: abstini		être abstinent	to abstain	enthaltsam sein, abstinent leben			abstenerse, guardar abstinencia	essere astinente	ésser abstemi	abster-se
ABSURD/	absurd/a	1OA	BRO9: absurda		absurde	absurd	absurd	niedorzeczny	???????				
ABUND/	abund/a	3OA	BRO7: abunda	abund/a. Malmanka.	abondant	abundant	reichlich, in Fülle	obfity		abundante	abbondante		abundante
ACID/	acid/a	F	BRO7: acida		acide, aigre AK	acid, sour AK	sauer	kwas'ny	??????				
AC^/	-ac^-	1OA	BRO9: -ac^-	-ac^-. Sufikso por montri mals^atan, malestiman sencon.									
AC^ET/	ac^et/i	F	BRO3: ac^eti		acheter	buy	kaufen	kupowac'	????????				
AD/	-ad-	F	BRO1: -ado, -adi		marque durée dans l’action; ex. paf/ coup de fusil -- paf/ad/ fusillade	denotes duration of action; e. g. danc/ dance -- danc/ad/ dancing	bezeichnet die Dauer der Thätigkeit; z. B. danc/ der Tanz -- danc/ad/ das Tanzen	oznacza trwanie czynnos'ci; np. ir/ is'c' -- ir/ad/ chodzic'	???????? ????????????????? ???????? ??? ???????????? ???; ????. ir/ ???? -- ir/ad/ ??????, ???????? AK				
ADAPT/	adapt/i	3OA	BRO9: adapti		adapter	to adapt	anpassen, adaptieren	adaptowac' (noto)		adaptar	adattare		adaptar
ADIAU(	adiau(	F	BRO7: adiau(		adieu	adieu, good-bye AK	lebe wohl	ba;dz' zdrów	??????				
ADICI/	adici/i	2OA	BRO8: adicii		additionner	to add up	addieren						
ADJEKTIV/	adjektiv/o	F	BRO8: adjektivo		adjectif	adjective	Eigenschaftswort	przymiotnik	??? ??????????????				
ADMINISTR/	administr/i	F	BRO8: administri		admininistrer	administer	verwalten	zarza;dzac'	?????????				
ADMIR/	admir/i	F	BRO8: admiri		admirer	admire	bewundern	podziwiac'	????????, ??????????, ??????????? AK				
ADMON/	admon/i	F	BRO8: admoni		engager, exhorter AK	exhort	ermahnen	upominac'	?????????				
ADOPT/	adopt/i	1OA	BRO8: adopti		adopter	adopt	adoptieren	adoptowac'	??????????				
ADOR/	ador/i	F	BRO9: adori		adorer	adore	anbeten	uwielbiac'	???????				
ADRES/	adres/o	F +1OA +8OA	BRO5: adreso		adresse (de lettre)	address	Adresse	adres	??????				
ADVERB/	adverb/o	F	BRO9: adverbo		adverbe	adverb	Unstandswort AK	przys?ówek	???????				
ADVOKAT/	advokat/o	1OA	BRO8: advokato		avocat	counsel, advocate	Advokat	adwokat	????????				
AER/	aer/o	F	BRO4: aero		air	air	Luft	powietrze	???????				
AFABL/	afabl/a	F	BRO3: afabla		affable, aimable AK	affable	freundlich	uprzejmy	???????????, ???????? AK				
AFER/	afer/o	F	BRO2: afero		affaire (en général), chose AK	affair	Sache, Angelegenheit	sprawa; rzecz AK	????				
AFIS^/	afis^/o	1OA	BRO8: afis^o		affiche	poster, placard	Anschlag (an Säule)	afisz	?????				
AFLIKT/	aflikt/i	3OA	BRO9: aflikti		affliger	to distress, grieve, afflict	betrüben, quälen			afligir	affliggere		afligir
AFRANK/	afrank/i	1OA	BRO8: afranki		affranchir	pay the postage	frankieren	frankowac'	????????????				
AFRIK/	Afrik/o	8OA	BRO9: Afriko	Afrik/o. La kontinento sude de Eu(ropo.	Afrique	Africa	Afrika			África (noto)	Africa		Africa
AG/	ag/i	F	BRO5: agi		agir	act	handeln, verfahren	poste;powac'	?????????				
AGENT/	agent/o	1OA	BRO9: agento		agent	agent	Agent	ajent	??????				
AGIT/ (fig.)	agit/i	2OA	BRO9: agiti										
AGL/	agl/o	F	BRO7: aglo		aigle	eagle	Adler	orze?	?????				
AGORD/	agord/o	F	BRO7: agordo		accorder, mettre au diapason (musique) AK	tune (vb.) AK	stimmen	nastrajac'	???????????				
AGRABL/	agrabl/a	F	BRO4: agrabla		agreable	agreeable	angenehm	przyjemny	????????				
AG^/	ag^/o	F	BRO4: ag^o		âge	age	Alter	wiek	??????? AK				
AJL/	ajl/o	F	BRO9: ajlo		ail	garlic AK	Knoblauch	czosnek	???????				
